"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,161,"NIC","Nicaragua",1,"Atlántico Norte","Región Autónoma","Autonomous Region",NA,"Región Autónoma del Atlántico Norte"
2,161,"NIC","Nicaragua",2,"Atlántico Sur","Región Autónoma","Autonomous Region",NA,"Región Autónoma del Atlántico Norte"
3,161,"NIC","Nicaragua",3,"Boaco","Departamento","Department",NA,NA
4,161,"NIC","Nicaragua",4,"Carazo","Departamento","Department",NA,NA
5,161,"NIC","Nicaragua",5,"Chinandega","Departamento","Department",NA,NA
6,161,"NIC","Nicaragua",6,"Chontales","Departamento","Department",NA,NA
7,161,"NIC","Nicaragua",7,"Estelí","Departamento","Department",NA,"Estel¡"
8,161,"NIC","Nicaragua",8,"Granada","Departamento","Department",NA,NA
9,161,"NIC","Nicaragua",9,"Jinotega","Departamento","Department",NA,NA
10,161,"NIC","Nicaragua",10,"Lago Nicaragua","Water body","Water body",NA,NA
11,161,"NIC","Nicaragua",11,"León","Departamento","Department",NA,NA
12,161,"NIC","Nicaragua",12,"Madriz","Departamento","Department",NA,NA
13,161,"NIC","Nicaragua",13,"Managua","Departamento","Department",NA,NA
14,161,"NIC","Nicaragua",14,"Masaya","Departamento","Department",NA,NA
15,161,"NIC","Nicaragua",15,"Matagalpa","Departamento","Department",NA,NA
16,161,"NIC","Nicaragua",16,"Nueva Segovia","Departamento","Department",NA,NA
17,161,"NIC","Nicaragua",17,"Río San Juan","Departamento","Department",NA,NA
18,161,"NIC","Nicaragua",18,"Rivas","Departamento","Department",NA,NA
