"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,161,"NIC","Nicaragua",1,"Atlántico Norte",1,"Bonanza","Municipio","Municipality",NA,NA
2,161,"NIC","Nicaragua",1,"Atlántico Norte",2,"Prinzapolka","Municipio","Municipality",NA,NA
3,161,"NIC","Nicaragua",1,"Atlántico Norte",3,"Puerto Cabezas","Municipio","Municipality",NA,NA
4,161,"NIC","Nicaragua",1,"Atlántico Norte",4,"Rosita","Municipio","Municipality",NA,NA
5,161,"NIC","Nicaragua",1,"Atlántico Norte",5,"Siuna","Municipio","Municipality",NA,NA
6,161,"NIC","Nicaragua",1,"Atlántico Norte",6,"Waslala","Municipio","Municipality",NA,NA
7,161,"NIC","Nicaragua",1,"Atlántico Norte",7,"Waspán","Municipio","Municipality",NA,"Waspam"
8,161,"NIC","Nicaragua",2,"Atlántico Sur",8,"Bluefields","Municipio","Municipality",NA,NA
9,161,"NIC","Nicaragua",2,"Atlántico Sur",9,"Bocana de Paiwas","Municipio","Municipality",NA,"Bocanas de Paiwa"
10,161,"NIC","Nicaragua",2,"Atlántico Sur",10,"El Rama","Municipio","Municipality",NA,NA
11,161,"NIC","Nicaragua",2,"Atlántico Sur",11,"Kukra Hill","Municipio","Municipality",NA,NA
12,161,"NIC","Nicaragua",2,"Atlántico Sur",12,"La Cruz de Río Grande","Municipio","Municipality",NA,NA
13,161,"NIC","Nicaragua",2,"Atlántico Sur",13,"Laguna de Perlas","Municipio","Municipality",NA,NA
14,161,"NIC","Nicaragua",2,"Atlántico Sur",14,"Muelle de los Bueyes","Municipio","Municipality",NA,NA
15,161,"NIC","Nicaragua",2,"Atlántico Sur",15,"Nueva Guinea","Municipio","Municipality",NA,NA
16,161,"NIC","Nicaragua",3,"Boaco",16,"Boaco","Municipio","Municipality",NA,NA
17,161,"NIC","Nicaragua",3,"Boaco",17,"Camoapa","Municipio","Municipality",NA,NA
18,161,"NIC","Nicaragua",3,"Boaco",18,"San José de los Remates","Municipio","Municipality",NA,NA
19,161,"NIC","Nicaragua",3,"Boaco",19,"San Lorenzo","Municipio","Municipality",NA,NA
20,161,"NIC","Nicaragua",3,"Boaco",20,"Santa Lucía","Municipio","Municipality",NA,NA
21,161,"NIC","Nicaragua",3,"Boaco",21,"Teustepe","Municipio","Municipality",NA,NA
22,161,"NIC","Nicaragua",4,"Carazo",22,"Diriamba","Municipio","Municipality",NA,NA
23,161,"NIC","Nicaragua",4,"Carazo",23,"Dolores","Municipio","Municipality",NA,NA
24,161,"NIC","Nicaragua",4,"Carazo",24,"El Rosario","Municipio","Municipality",NA,NA
25,161,"NIC","Nicaragua",4,"Carazo",25,"Jinotepe","Municipio","Municipality",NA,NA
